epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.876,0.67282,2.48159,1.35904,0.45306,0.57653,0.51994,0.36733,0.91531,1.5951,1.55205,0.00332969,0.00332969,0.00332969
2,306.019,0.68275,1.86521,1.34328,0.49543,0.54767,0.52716,0.35702,1.00757,1.69144,1.66794,0.0065311,0.0065311,0.0065311
3,447.924,0.77663,1.95501,1.40633,0.31091,0.47491,0.33275,0.20407,1.14621,2.21526,1.86932,0.0096005,0.0096005,0.0096005
4,588.542,0.8081,1.999,1.42709,0.40411,0.54814,0.46604,0.3026,1.09227,1.8166,1.82927,0.009406,0.009406,0.009406
5,729.227,0.75682,1.87687,1.3841,0.5311,0.52343,0.50769,0.3604,0.91719,1.61298,1.52795,0.009208,0.009208,0.009208
6,869.125,0.71267,1.77442,1.3485,0.52889,0.59994,0.59832,0.3946,1.02504,1.39788,1.73413,0.00901,0.00901,0.00901
7,1009.54,0.67942,1.68936,1.32229,0.49625,0.63268,0.59908,0.44151,0.87175,1.39509,1.49878,0.008812,0.008812,0.008812
8,1150.43,0.66207,1.62672,1.30887,0.60874,0.71735,0.73418,0.56381,0.78425,1.09447,1.37778,0.008614,0.008614,0.008614
9,1290.98,0.63605,1.56114,1.28837,0.66431,0.70768,0.74558,0.57943,0.74701,1.05022,1.28492,0.008416,0.008416,0.008416
10,1431.93,0.62217,1.51035,1.2772,0.68335,0.74058,0.76838,0.58584,0.76184,0.99893,1.30613,0.008218,0.008218,0.008218
11,1572.88,0.60813,1.47634,1.2694,0.72806,0.73206,0.79958,0.64169,0.67179,0.95334,1.18756,0.00802,0.00802,0.00802
12,1713.64,0.59302,1.42881,1.25929,0.74043,0.7319,0.80268,0.64764,0.68633,0.90569,1.22357,0.007822,0.007822,0.007822
13,1854.16,0.5757,1.39372,1.24084,0.77172,0.7339,0.8243,0.67767,0.62421,0.85704,1.13067,0.007624,0.007624,0.007624
14,1994.69,0.57489,1.36034,1.24177,0.76924,0.74854,0.82576,0.67612,0.63988,0.85827,1.14868,0.007426,0.007426,0.007426
