epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,2135.27,0.56495,1.33207,1.23489,0.79921,0.78205,0.85748,0.71918,0.59514,0.79112,1.09433,0.007228,0.007228,0.007228
16,2275.67,0.54917,1.30866,1.22209,0.80312,0.79733,0.85809,0.73052,0.56609,0.75985,1.06242,0.00703,0.00703,0.00703
17,2415.62,0.54614,1.28378,1.22205,0.83794,0.79599,0.8842,0.75434,0.57472,0.73609,1.06174,0.006832,0.006832,0.006832
18,2555.9,0.54088,1.24338,1.21522,0.79516,0.81259,0.87169,0.74036,0.55724,0.754,1.08469,0.006634,0.006634,0.006634
19,2696.18,0.53396,1.22306,1.21075,0.8207,0.79804,0.88028,0.75633,0.5567,0.7173,1.05869,0.006436,0.006436,0.006436
20,2837.15,0.52226,1.19793,1.20006,0.81632,0.81952,0.89357,0.78211,0.51522,0.69267,1.03043,0.006238,0.006238,0.006238
21,2977.14,0.51936,1.16589,1.19849,0.84339,0.8197,0.89759,0.78914,0.51103,0.65783,1.01841,0.00604,0.00604,0.00604
22,3117.6,0.51425,1.15799,1.19726,0.83251,0.84088,0.90276,0.79724,0.50183,0.65437,1.0042,0.005842,0.005842,0.005842
23,3257.99,0.51096,1.14161,1.19512,0.84667,0.8395,0.90184,0.79484,0.51217,0.64193,0.99837,0.005644,0.005644,0.005644
24,3398.73,0.49582,1.11337,1.18381,0.84451,0.82605,0.89983,0.79274,0.49708,0.6625,0.97881,0.005446,0.005446,0.005446
25,3539.01,0.49686,1.09201,1.18114,0.88313,0.8291,0.91431,0.8252,0.45411,0.59231,0.94419,0.005248,0.005248,0.005248
26,3679.79,0.48934,1.08015,1.17469,0.86755,0.85443,0.91975,0.82821,0.46478,0.57933,0.95213,0.00505,0.00505,0.00505
27,3820.08,0.48444,1.0565,1.17656,0.88317,0.86919,0.92964,0.83836,0.46924,0.56347,0.95843,0.004852,0.004852,0.004852
28,3960.59,0.47851,1.02962,1.16702,0.89971,0.83777,0.92473,0.83404,0.45878,0.56486,0.95174,0.004654,0.004654,0.004654
29,4100.64,0.47396,1.02056,1.1674,0.87192,0.84871,0.92178,0.83242,0.46425,0.57401,0.94965,0.004456,0.004456,0.004456
30,4241.28,0.46323,1.00011,1.15944,0.87756,0.85609,0.92674,0.83979,0.44748,0.55835,0.9336,0.004258,0.004258,0.004258
31,4381.7,0.46387,0.98179,1.16102,0.87206,0.85824,0.92607,0.84261,0.44774,0.55482,0.93239,0.00406,0.00406,0.00406
32,4522.17,0.45985,0.96882,1.15812,0.90422,0.85247,0.93126,0.84972,0.44056,0.53692,0.91706,0.003862,0.003862,0.003862
33,4662.9,0.45359,0.95065,1.1506,0.87018,0.88456,0.93565,0.85681,0.42792,0.52545,0.90876,0.003664,0.003664,0.003664
34,4803.36,0.44683,0.93461,1.14707,0.8982,0.862,0.93456,0.85783,0.41423,0.52522,0.89199,0.003466,0.003466,0.003466
35,4944.01,0.44666,0.91506,1.14367,0.89298,0.86965,0.93564,0.85364,0.42735,0.51916,0.90691,0.003268,0.003268,0.003268
36,5084.29,0.4426,0.89824,1.14254,0.87228,0.8945,0.93894,0.86693,0.40572,0.49631,0.88398,0.00307,0.00307,0.00307
37,5224.66,0.43282,0.8888,1.13941,0.89464,0.87962,0.93903,0.86748,0.39926,0.49718,0.87635,0.002872,0.002872,0.002872
38,5364.58,0.42911,0.8701,1.13163,0.90685,0.87681,0.94123,0.87127,0.39357,0.48647,0.86953,0.002674,0.002674,0.002674
39,5505.1,0.42471,0.85749,1.13017,0.90832,0.86935,0.93774,0.86992,0.38836,0.49514,0.8686,0.002476,0.002476,0.002476
40,5645.76,0.42412,0.84399,1.12854,0.89615,0.88449,0.9376,0.87126,0.38265,0.49581,0.85631,0.002278,0.002278,0.002278
41,5786.93,0.30386,0.3555,1.11228,0.88553,0.8769,0.93463,0.87355,0.37401,0.50879,0.85512,0.00208,0.00208,0.00208
42,5927.34,0.29297,0.32419,1.09976,0.90022,0.86857,0.93403,0.87588,0.37078,0.51495,0.84968,0.001882,0.001882,0.001882
43,6067.92,0.28011,0.29849,1.08615,0.86426,0.89336,0.93606,0.87924,0.36867,0.51025,0.84298,0.001684,0.001684,0.001684
44,6208.12,0.27198,0.27545,1.07625,0.8889,0.8775,0.93733,0.88123,0.36432,0.50846,0.84158,0.001486,0.001486,0.001486
45,6348.23,0.26406,0.26361,1.06665,0.90132,0.85573,0.93411,0.87978,0.35537,0.51262,0.83168,0.001288,0.001288,0.001288
46,6488.39,0.25498,0.24601,1.05939,0.90574,0.86119,0.93534,0.87985,0.35095,0.50233,0.82976,0.00109,0.00109,0.00109
47,6628.69,0.24784,0.22469,1.0482,0.91157,0.85642,0.93619,0.8829,0.34988,0.50237,0.82569,0.000892,0.000892,0.000892
48,6768.85,0.2411,0.21725,1.04596,0.88794,0.88152,0.93595,0.88335,0.3483,0.49903,0.82677,0.000694,0.000694,0.000694
49,6909.08,0.23468,0.20382,1.03901,0.88697,0.87602,0.93534,0.88202,0.34809,0.5033,0.82748,0.000496,0.000496,0.000496
50,7049.04,0.22921,0.19682,1.0359,0.88235,0.88061,0.93421,0.88191,0.34681,0.49969,0.8271,0.000298,0.000298,0.000298
