epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,3534.53,0.46438,0.95534,1.15405,0.88416,0.85808,0.92862,0.83919,0.45165,0.56662,0.95133,0.004456,0.004456,0.004456
30,3655.79,0.46151,0.93918,1.15463,0.85962,0.89464,0.93327,0.8481,0.42818,0.5369,0.91218,0.004258,0.004258,0.004258
31,3777.06,0.45472,0.93127,1.15134,0.89363,0.8687,0.93489,0.85272,0.44065,0.54884,0.92244,0.00406,0.00406,0.00406
32,3898.25,0.44813,0.90827,1.14551,0.87968,0.8711,0.93597,0.85018,0.42825,0.53786,0.91067,0.003862,0.003862,0.003862
33,4019.38,0.44466,0.89579,1.14236,0.89764,0.86495,0.93692,0.85131,0.43369,0.53832,0.91875,0.003664,0.003664,0.003664
34,4140.48,0.439,0.87648,1.13604,0.90246,0.87624,0.94072,0.86237,0.42692,0.51992,0.91479,0.003466,0.003466,0.003466
35,4261.63,0.42907,0.86046,1.13211,0.88556,0.88299,0.94211,0.8663,0.41603,0.51435,0.89246,0.003268,0.003268,0.003268
36,4382.71,0.43057,0.84502,1.13093,0.89436,0.87546,0.94142,0.86479,0.4073,0.52407,0.89514,0.00307,0.00307,0.00307
37,4503.84,0.4275,0.83584,1.13027,0.90986,0.86424,0.93329,0.86163,0.40387,0.53379,0.88436,0.002872,0.002872,0.002872
38,4624.84,0.41976,0.81521,1.12503,0.90862,0.86666,0.93952,0.86785,0.39724,0.5202,0.8811,0.002674,0.002674,0.002674
39,4746.1,0.41341,0.80563,1.12242,0.89479,0.86702,0.93662,0.86458,0.40159,0.52911,0.88484,0.002476,0.002476,0.002476
40,4867.14,0.41297,0.78363,1.1195,0.89619,0.87045,0.93631,0.86513,0.40157,0.53016,0.88549,0.002278,0.002278,0.002278
41,4990.15,0.29158,0.3241,1.10064,0.90495,0.86057,0.93294,0.86632,0.39322,0.52883,0.87667,0.00208,0.00208,0.00208
42,5111.43,0.27935,0.30063,1.08461,0.88812,0.87233,0.93768,0.87729,0.37163,0.5099,0.85341,0.001882,0.001882,0.001882
43,5232.86,0.26944,0.2765,1.07688,0.88897,0.87988,0.93646,0.8792,0.37331,0.5056,0.8563,0.001684,0.001684,0.001684
44,5354.23,0.26332,0.25712,1.0662,0.88264,0.88766,0.9345,0.87813,0.36457,0.50386,0.84498,0.001486,0.001486,0.001486
45,5475.38,0.25389,0.23838,1.05577,0.87554,0.89436,0.93615,0.88068,0.35935,0.50642,0.84238,0.001288,0.001288,0.001288
46,5596.57,0.24757,0.22857,1.05134,0.88438,0.88325,0.93555,0.88288,0.36056,0.51084,0.84157,0.00109,0.00109,0.00109
47,5717.71,0.23862,0.21398,1.03787,0.91565,0.86301,0.93678,0.88294,0.36342,0.51258,0.84571,0.000892,0.000892,0.000892
48,5839.06,0.22963,0.19724,1.03326,0.90036,0.8756,0.93886,0.88512,0.35976,0.51208,0.84105,0.000694,0.000694,0.000694
49,5960.08,0.22409,0.18718,1.02723,0.90499,0.87172,0.93644,0.88335,0.35745,0.5173,0.83907,0.000496,0.000496,0.000496
50,6081.16,0.21845,0.17443,1.02417,0.89839,0.87947,0.93614,0.88439,0.35675,0.5158,0.83955,0.000298,0.000298,0.000298
