epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.116,0.67534,2.55802,1.36316,0.44253,0.47265,0.44542,0.31258,0.92745,2.05288,1.58685,0.00332606,0.00332606,0.00332606
2,261.472,0.66425,1.79893,1.32274,0.501,0.56586,0.53639,0.37581,0.91161,1.6951,1.58677,0.00652753,0.00652753,0.00652753
3,383.238,0.75341,1.87261,1.3868,0.20997,0.33095,0.15784,0.08721,1.36756,2.7886,2.37549,0.00959701,0.00959701,0.00959701
4,504.489,0.81267,1.99655,1.42841,0.34806,0.48736,0.36726,0.22737,1.17492,2.18171,1.83663,0.009406,0.009406,0.009406
5,625.884,0.74918,1.83222,1.37713,0.44662,0.53597,0.48091,0.334,0.96978,1.83772,1.69371,0.009208,0.009208,0.009208
6,747.159,0.70981,1.73211,1.34572,0.48133,0.57349,0.56461,0.40865,0.92889,1.53806,1.57976,0.00901,0.00901,0.00901
7,868.417,0.67677,1.64057,1.31539,0.5939,0.57635,0.61241,0.44023,0.95159,1.46486,1.50622,0.008812,0.008812,0.008812
8,989.789,0.64579,1.55949,1.29631,0.67601,0.69156,0.75295,0.56684,0.80327,1.04613,1.417,0.008614,0.008614,0.008614
9,1110.99,0.63305,1.50976,1.28537,0.68622,0.70406,0.73656,0.56189,0.79108,1.07882,1.33939,0.008416,0.008416,0.008416
10,1232.24,0.61342,1.44846,1.26745,0.69524,0.69151,0.76172,0.61583,0.65823,1.0606,1.20578,0.008218,0.008218,0.008218
11,1353.57,0.59338,1.40643,1.25532,0.69435,0.72688,0.7711,0.61151,0.68919,0.96218,1.22882,0.00802,0.00802,0.00802
12,1474.65,0.58234,1.36367,1.24786,0.71798,0.70025,0.77366,0.61354,0.69462,1.01679,1.24833,0.007822,0.007822,0.007822
13,1595.83,0.5707,1.33213,1.23751,0.78601,0.74616,0.84156,0.6863,0.63617,0.81923,1.14995,0.007624,0.007624,0.007624
14,1717.03,0.5612,1.29152,1.22579,0.77411,0.74222,0.83728,0.70596,0.58428,0.8537,1.1036,0.007426,0.007426,0.007426
15,1838.18,0.55005,1.27558,1.22198,0.78719,0.79658,0.85966,0.73081,0.56877,0.78084,1.09797,0.007228,0.007228,0.007228
16,1959.44,0.539,1.24215,1.21251,0.7618,0.78385,0.84768,0.70718,0.60647,0.81705,1.1181,0.00703,0.00703,0.00703
17,2080.58,0.53838,1.22563,1.21314,0.79852,0.78168,0.86793,0.74592,0.54999,0.76851,1.05184,0.006832,0.006832,0.006832
18,2201.69,0.52754,1.18393,1.20336,0.77651,0.8198,0.87265,0.74467,0.54382,0.74294,1.056,0.006634,0.006634,0.006634
19,2322.91,0.5214,1.15886,1.19957,0.80568,0.80225,0.87488,0.75495,0.53686,0.75158,1.05777,0.006436,0.006436,0.006436
20,2443.95,0.51174,1.13682,1.19037,0.82294,0.8143,0.88516,0.76724,0.5365,0.69178,1.04287,0.006238,0.006238,0.006238
21,2565.18,0.50654,1.10975,1.18749,0.83365,0.80011,0.89112,0.78082,0.54822,0.69742,1.04987,0.00604,0.00604,0.00604
22,2686.44,0.49778,1.09477,1.18147,0.85239,0.83133,0.90212,0.79465,0.49347,0.64012,0.9987,0.005842,0.005842,0.005842
23,2807.72,0.49733,1.07436,1.18177,0.8434,0.85519,0.91075,0.80443,0.47845,0.62746,0.98348,0.005644,0.005644,0.005644
24,2928.81,0.49159,1.04699,1.17609,0.84439,0.83046,0.90313,0.80008,0.49428,0.62475,0.98201,0.005446,0.005446,0.005446
25,3049.75,0.48278,1.02176,1.17054,0.84711,0.85215,0.91444,0.82104,0.46526,0.61166,0.95622,0.005248,0.005248,0.005248
26,3171.01,0.48106,1.01497,1.1675,0.88492,0.8297,0.91953,0.82525,0.47439,0.58212,0.96299,0.00505,0.00505,0.00505
27,3292.19,0.47178,0.9937,1.16273,0.88516,0.8353,0.92132,0.82865,0.45455,0.57009,0.94042,0.004852,0.004852,0.004852
28,3413.44,0.46399,0.96924,1.15597,0.88873,0.8525,0.9192,0.8347,0.44819,0.5728,0.94431,0.004654,0.004654,0.004654
