epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.09,0.6972,2.49407,1.37852,0.50673,0.51131,0.49093,0.37057,0.79325,1.75216,1.43716,0.00333151,0.00333151,0.00333151
2,480.151,0.71289,1.95533,1.36911,0.42868,0.56637,0.47651,0.32551,0.9614,1.6631,1.71138,0.00653288,0.00653288,0.00653288
3,704.291,0.80684,2.05965,1.43709,0.36228,0.44926,0.36256,0.22866,1.14679,2.08954,1.82707,0.00960225,0.00960225,0.00960225
4,928.342,0.83098,2.1031,1.44948,0.34783,0.54524,0.43731,0.28677,1.08615,1.75319,1.71244,0.009406,0.009406,0.009406
5,1150.81,0.76673,1.97687,1.39599,0.40812,0.60109,0.52645,0.36561,0.99476,1.60848,1.65796,0.009208,0.009208,0.009208
6,1372.63,0.72905,1.86809,1.36798,0.50208,0.59459,0.57721,0.40337,0.91919,1.40429,1.51151,0.00901,0.00901,0.00901
7,1594.94,0.69435,1.79026,1.3391,0.62658,0.60821,0.64068,0.47576,0.85126,1.3033,1.4245,0.008812,0.008812,0.008812
8,1816.96,0.67699,1.73375,1.32526,0.59554,0.68226,0.69667,0.52094,0.81872,1.17435,1.37124,0.008614,0.008614,0.008614
9,2039.03,0.65036,1.66637,1.30436,0.62622,0.66843,0.6908,0.52438,0.77137,1.13901,1.30725,0.008416,0.008416,0.008416
10,2260.31,0.63732,1.61709,1.29376,0.64349,0.70219,0.73997,0.58221,0.72128,1.04672,1.25418,0.008218,0.008218,0.008218
11,2482.02,0.61998,1.57817,1.28303,0.6472,0.75187,0.76254,0.60352,0.70263,1.00506,1.23632,0.00802,0.00802,0.00802
12,2704.42,0.61498,1.53084,1.2768,0.67798,0.75314,0.76582,0.60722,0.69979,0.96279,1.24361,0.007822,0.007822,0.007822
13,2926.07,0.60041,1.49856,1.26454,0.69771,0.73593,0.78456,0.64438,0.63635,0.9233,1.17156,0.007624,0.007624,0.007624
14,3147.92,0.58852,1.45904,1.25774,0.71442,0.7914,0.81434,0.66525,0.65383,0.88232,1.1621,0.007426,0.007426,0.007426
